storyID,category,voice,words_now,authored_silence_s,est_runtime_min,words_for_45min,words_to_add
the-bay-that-glows-at-night,Deep Ocean,Brian,4255,598,43.6,4390,+140
the-deep-ocean-trenches,Deep Ocean,Brian,4186,461,40.0,4710,+520
a-roman-bathhouse-at-closing-time,Long Ago,Arthur,4353,616,39.4,4970,+620
the-building-of-a-cathedral,Long Ago,Arthur,4458,587,39.4,5090,+640
the-great-library-of-alexandria,Long Ago,Arthur,4234,550,37.2,5120,+880
the-joinery-of-japan-s-wooden-temples,Long Ago,Arthur,4258,609,38.7,4950,+690
the-bakery-before-dawn,Slow Journeys,Niamh,4372,633,40.6,4840,+470
the-clockmaker-s-workshop,Slow Journeys,Niamh,4398,587,39.8,4980,+580
the-journey-of-a-glacial-river,Slow Journeys,Niamh,4144,612,38.8,4810,+660
the-midnight-sleeper-train-across-the-alps,Slow Journeys,Niamh,4353,608,40.0,4900,+550
floating-through-the-pillars-of-creation,Stars & Signs,Amy,4574,652,40.9,5030,+460
mapping-the-cosmic-web,Stars & Signs,Amy,4280,645,39.1,4930,+650
the-life-cycle-of-a-red-dwarf-star,Stars & Signs,Amy,4275,648,39.1,4920,+640
the-moons-of-jupiter-europa-s-ice-and-ocean,Stars & Signs,Amy,4241,641,38.8,4920,+680
the-rings-of-saturn,Stars & Signs,Amy,4452,568,38.3,5230,+770
voyager-1-a-journey-to-interstellar-space,Stars & Signs,Amy,4277,613,38.3,5020,+740
the-observatory-on-ben-nevis,Wild Places,Patrick,4145,620,40.5,4600,+460
the-slow-life-of-a-redwood,Wild Places,Patrick,4192,616,40.7,4630,+440
aristotle-the-greatest-philosopher,Big Questions,Emma,,,,,NO TEXT YET
dinosaurs-from-rule-to-ruin,Long Ago,Arthur,,,,,NO TEXT YET
